sample_id,species,matrix,life_stage,condition,plate,replicate,is_C_companion,has_C_companion,companion_of,timepoint_hrs,stage_group,condition_group
D1_spore,Batrachochytrium dendrobatidis,spore,Zoospore,spore_Zoospore,D,1.0,False,True,D1C_liq.mzML,8.0,Zoospore,spore_Zoospore
D3_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,D,3.0,False,False,,48.0,Developed,liq_Developed
D3_spore,Batrachochytrium dendrobatidis,spore,Sporangium,spore_Sporangium,D,3.0,False,True,D3C_liq.mzML,48.0,Developed,spore_Developed
D4_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,D,4.0,False,False,,96.0,Developed,liq_Developed
D4_spore,Batrachochytrium dendrobatidis,spore,Mature,spore_Mature,D,4.0,False,True,D4C_liq.mzML,96.0,Developed,spore_Developed
E1_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,E,1.0,False,False,,8.0,Zoospore,liq_Zoospore
E1_spore,Batrachochytrium dendrobatidis,spore,Zoospore,spore_Zoospore,E,1.0,False,True,E1C_liq.mzML,8.0,Zoospore,spore_Zoospore
E2_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,E,2.0,False,False,,48.0,Developed,liq_Developed
E2_spore,Batrachochytrium dendrobatidis,spore,Sporangium,spore_Sporangium,E,2.0,False,True,E2C_liq.mzML,48.0,Developed,spore_Developed
E3_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,E,3.0,False,False,,96.0,Developed,liq_Developed
E3_spore,Batrachochytrium dendrobatidis,spore,Mature,spore_Mature,E,3.0,False,True,E3C_liq.mzML,96.0,Developed,spore_Developed
F1_liq,Batrachochytrium dendrobatidis,liq,Zoospore,liq_Zoospore,F,1.0,False,False,,8.0,Zoospore,liq_Zoospore
F1_spore,Batrachochytrium dendrobatidis,spore,Zoospore,spore_Zoospore,F,1.0,False,True,F1C_liq.mzML,8.0,Zoospore,spore_Zoospore
F2_liq,Batrachochytrium dendrobatidis,liq,Sporangium,liq_Sporangium,F,2.0,False,False,,48.0,Developed,liq_Developed
F2_spore,Batrachochytrium dendrobatidis,spore,Sporangium,spore_Sporangium,F,2.0,False,True,F2C_liq.mzML,48.0,Developed,spore_Developed
F3_liq,Batrachochytrium dendrobatidis,liq,Mature,liq_Mature,F,3.0,False,False,,96.0,Developed,liq_Developed
F3_spore,Batrachochytrium dendrobatidis,spore,Mature,spore_Mature,F,3.0,False,True,F3C_liq.mzML,96.0,Developed,spore_Developed
V1_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,V,1.0,False,False,,8.0,Zoospore,liq_Zoospore
V1_spores,Batrachochytrium salamandrivorans,spore,Zoospore,spore_Zoospore,V,1.0,False,True,V1C_liq.mzML,8.0,Zoospore,spore_Zoospore
V2_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,V,2.0,False,False,,48.0,Developed,liq_Developed
V2_spores,Batrachochytrium salamandrivorans,spore,Sporangium,spore_Sporangium,V,2.0,False,True,V2C_liq.mzML,48.0,Developed,spore_Developed
V3_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,V,3.0,False,False,,96.0,Developed,liq_Developed
V3_spores,Batrachochytrium salamandrivorans,spore,Mature,spore_Mature,V,3.0,False,True,V3C_liq.mzML,96.0,Developed,spore_Developed
W1_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,W,1.0,False,False,,8.0,Zoospore,liq_Zoospore
W1_spores,Batrachochytrium salamandrivorans,spore,Zoospore,spore_Zoospore,W,1.0,False,True,W1C_liq.mzML,8.0,Zoospore,spore_Zoospore
W2_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,W,2.0,False,False,,48.0,Developed,liq_Developed
W2_spores,Batrachochytrium salamandrivorans,spore,Sporangium,spore_Sporangium,W,2.0,False,True,W2C_liq.mzML,48.0,Developed,spore_Developed
W3_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,W,3.0,False,False,,96.0,Developed,liq_Developed
W3_spores,Batrachochytrium salamandrivorans,spore,Mature,spore_Mature,W,3.0,False,True,W3C_liq.mzML,96.0,Developed,spore_Developed
X1_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,X,1.0,False,False,,8.0,Zoospore,liq_Zoospore
X1_spores,Batrachochytrium salamandrivorans,spore,Zoospore,spore_Zoospore,X,1.0,False,True,X1C_liq.mzML,8.0,Zoospore,spore_Zoospore
X2_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,X,2.0,False,False,,48.0,Developed,liq_Developed
X2_spores,Batrachochytrium salamandrivorans,spore,Sporangium,spore_Sporangium,X,2.0,False,True,X2C_liq.mzML,48.0,Developed,spore_Developed
X3_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,X,3.0,False,False,,96.0,Developed,liq_Developed
X3_spores,Batrachochytrium salamandrivorans,spore,Mature,spore_Mature,X,3.0,False,True,X3C_liq.mzML,96.0,Developed,spore_Developed
Y1_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,Y,1.0,False,False,,8.0,Zoospore,liq_Zoospore
Y1_spores,Batrachochytrium salamandrivorans,spore,Zoospore,spore_Zoospore,Y,1.0,False,True,Y1C_liq.mzML,8.0,Zoospore,spore_Zoospore
Y2_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,Y,2.0,False,False,,48.0,Developed,liq_Developed
Y2_spores,Batrachochytrium salamandrivorans,spore,Sporangium,spore_Sporangium,Y,2.0,False,True,Y2C_liq.mzML,48.0,Developed,spore_Developed
Y3_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,Y,3.0,False,False,,96.0,Developed,liq_Developed
Y3_spores,Batrachochytrium salamandrivorans,spore,Mature,spore_Mature,Y,3.0,False,True,Y3C_liq.mzML,96.0,Developed,spore_Developed
Z1_liq,Batrachochytrium salamandrivorans,liq,Zoospore,liq_Zoospore,Z,1.0,False,False,,8.0,Zoospore,liq_Zoospore
Z1_spores,Batrachochytrium salamandrivorans,spore,Zoospore,spore_Zoospore,Z,1.0,False,True,Z1C_liq.mzML,8.0,Zoospore,spore_Zoospore
Z2_liq,Batrachochytrium salamandrivorans,liq,Sporangium,liq_Sporangium,Z,2.0,False,False,,48.0,Developed,liq_Developed
Z2_spores,Batrachochytrium salamandrivorans,spore,Sporangium,spore_Sporangium,Z,2.0,False,True,Z2C_liq.mzML,48.0,Developed,spore_Developed
Z3_liq,Batrachochytrium salamandrivorans,liq,Mature,liq_Mature,Z,3.0,False,False,,96.0,Developed,liq_Developed
Z3_spores,Batrachochytrium salamandrivorans,spore,Mature,spore_Mature,Z,3.0,False,True,Z3C_liq.mzML,96.0,Developed,spore_Developed
